Recipe ID,Recipe Title,Calories,Fat/g,Carbo/g,Protein/g,Alcohol,Vegetarian,Vegan,Gluten Free,Dairy Free,Dish Type,Ingredients,Instructions,Ready in Minutes,Image,Popular,Price Per Serving,Halal,Breakfast,Lunch,Dinner,Snack 1,Snack 2
1,Fried Anchovies with Sage,384.0,11.0,33.0,37.0,0.0,0,0,0,1,main course,"anchovies,   baking powder,   egg,   flour,   sage leaves,   salt,   seltzer water,   vegetable oil","Adds a sage leave to each piece of fish as well for an extra burst of flavor & color. Fried Anchovies with Sage Acciughe fritte con Salvia 1lb of anchovies cleaned, spine removedsage leaves (optional - if you are not a fan of sage just omit) batter 1 cup of flour 1 egg 1 teaspoon of salt 1 teaspoon of baking powder seltzer water vegetable oil for fryingIn a bowl combine flour, eggs, salt and baking powder. Slowly add in seltzer water &amp; mix until forms a thin batter. Cover with plastic &amp; set in the fridge for at least an hour.Heat oil in a pot to 350 degree.Remove batter from fridge and mix once or twice (batter will have separated). Take a sage leaf, anchovy put them together and dip into the batter - allowing access batter to drip off. Fry 20 seconds a side until golden brown.Remove from oil and drain on a paper towel. Sprinkle with salt and serve immediately. Pairs great with prosecco or white wine.",45,https://spoonacular.com/recipeImages/1-556x370.jpg,0,5.6051,1,1,0,0,0,0
2,Anchovies Appetizer With Breadcrumbs & Scallions,57.0,2.0,4.0,5.0,0.0,0,0,0,1,appetizer,"anchovies,   bread,   garlic clove,   olive oil,   scallions","Preheat your oven to 400°F (200°C). Lay the anchovy fillets on a baking sheet lined with parchment paper. In a small bowl, combine the breadcrumbs, sliced scallions, olive oil, and lemon juice. Mix well until the breadcrumbs are evenly coated. Spoon a small amount of the breadcrumb mixture onto each anchovy fillet, pressing gently to adhere. Sprinkle a little freshly ground black pepper over the top of each anchovy. Place the baking sheet in the preheated oven and bake for about 5-7 minutes, or until the breadcrumbs are golden and crispy. Remove the anchovies from the oven and let them cool slightly before serving. Arrange the Anchovies Appetizer with Breadcrumbs & Scallions on a platter or individual serving plates. You can serve them as is or garnish with additional sliced scallions or a squeeze of lemon juice, if desired.",15,https://spoonacular.com/recipeImages/2-556x370.jpg,0,8.206,1,0,0,0,1,0
3,Fried Anchovies,356.0,31.0,10.0,9.0,0.0,0,0,0,1,appetizer,"anchovies,   cayenne pepper,   cherry tomatoes,   crusty bread,   eggs,   extra virgin olive oil,   flour,   salt and pepper","If you are using whole, fresh anchovies you must clean them first. Pull off the heads and pull out the insides. Then rinse with clean water.Pour the olive oil into a small deep saucepan set over heat. Use a deep fry thermometer to monitor the heat.Meanwhile, add the eggs to a small bowl and beat until well mixed. Add the flour, cayenne, salt and black pepper to a shallow bowl, use a fork to mix the ingredients together. Dip the fish one at a time into the beaten eggs and then roll it in flour.When the oil reaches 365 degrees F. fry the fish a few at a time, rolling them around in the oil to assure even cooking until they are golden brown (about 5-8 minutes). Serve with crusty bread, extra-virgin olive oil for dipping the bread (optional) and tomatoes.",15,https://spoonacular.com/recipeImages/6-556x370.jpg,0,1.505,1,0,0,0,1,0
4,Marinated Fresh Anchovies: Alici Marinate,221.0,11.0,3.0,24.0,0.0,0,0,1,1,main course,"fresh anchovies,   garlic,   olive oil,   oregano,   parsley,   red chile flakes,   sea salt,   white wine vinegar","Using scissors, trim the fins off of all the anchovies. Using a sharp paring knife, gut the fish, and rinse well. Cut off the heads and carefully remove the spine and pin bones by pulling from the top with the index finger and thumbnail. Separate the 2 fillets and rinse again. Lay 1 layer of the fillets in a deep oval quiche plate and sprinkle over with vinegar. Continue until all the fish fillets are in the plate and pour over the rest of the vinegar. Let sit to marinate for at least 4 hours in the refrigerator. Drain each anchovy from the vinegar, rinse, and pat dry with a kitchen towel. Wash out the oval quiche plate and dry well. Lay the cured anchovies into the quiche plate, one layer at a time, with 2 or 3 tablespoons olive oil, a pinch of oregano, a sprinkle of chile flakes, a sprinkle of parsley, a couple of garlic slices, and a sprinkle of salt. Layer until all of the anchovies are finished and allow to marinate at least 2 hours, refrigerated. To serve, bring anchovies to cellar temp, just about 58 degrees F, and place 8 or 9 on each plate drained of oil. The cured anchovies will last like this for 1 week in the refrigerator.",420,https://spoonacular.com/recipeImages/9-556x370.jpeg,0,5.5005,0,1,0,0,0,0
5,Roasted Peppers with Boquerones,32.0,0.0,5.0,2.0,0.0,0,0,1,1,side dish,"boquerones,   red bell peppers,   sherry vinegar,   sugar","Preheat broiler. Broil bell peppers on a broiler pan about 5 inches from heat, turning occasionally with tongs, until skins are blackened, 15 to 20 minutes. Transfer to a large bowl and cover bowl tightly with plastic wrap, then let steam 20 minutes. When peppers are cool enough to handle, peel them, reserving all juices in bowl, and discard stems and seeds. Cut peppers lengthwise into 1/4-inch-wide strips. Pour pepper juices through a sieve into another bowl, then add vinegar and sugar to juices, stirring until sugar is dissolved, then stir in peppers. Marinate peppers at room temperature, stirring occasionally, at least 2 hours. Spoon peppers and juices into a shallow bowl and arrange anchovy strips decoratively on top. Cooks' note: Peppers can marinate (without anchovies), covered and chilled, up to 3 days. Bring to room temperature before serving.",45,https://spoonacular.com/recipeImages/12-556x370.jpg,0,5.844,1,0,0,0,1,0
6,Baguette With Anchovy Butter,946.0,94.0,23.0,7.0,0.0,0,0,0,0,side dish,"anchovy,   baguette,   chives,   coarse kosher salt,   fresh chives,   radishes,   unsalted butter","Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve.",45,https://spoonacular.com/recipeImages/16-556x370.jpg,0,2.2003,1,0,0,0,1,0
7,Roasted Tomatoes with Anchovy Filet,479.0,23.0,10.0,56.0,0.0,0,0,1,1,main course,"anchovy filets,   extra virgin olive oil,   fire-roasted tomatoes,   herbs,   salt and pepper,   summer squash,   sun-dried tomatoes,   tomatoes,   top sirloin,   pomodori al forno con le acciughe,   remove from oven","Roasted Tomatoes with Anchovies Pomodori al forno con le acciughe serves 44 round tomatoes (we grow & use grappolo for this dish) small handful of any fresh herbs you like, chopped - we use oregano but you can also use basil, thyme, etc.salt & peppergood quality extra virgin olive oil8 high quality anchovy filets, (we use anchovies from Sardegna packed in salt) Preheat oven to 150 C or 280 FCut the top 3rd off the tomatoes & discard top.Place tomatoes on a baking tray, lined with parchment paper. Sprinkle generously with salt, pepper & herbs. Drizzle with a generous amount of olive oil. Place in the oven for 4-6 hours depending on the size of your tomatoes. Every once in a while as you pass the kitchen, baste the tomatoes in the juices & olive oil in the pan.Once the tomatoes shrivel up a bit & start to look sun-dried, they are ready. They should still hold their shape & not become mush.Remove from oven, top each tomato with a whole anchovy filet. Serve warm or room temperature with olive oil from the baking pan drizzled over the top.",45,https://spoonacular.com/recipeImages/17-556x370.jpg,0,5.0855,1,1,0,0,0,0
8,No-knead Fennel & Anchovy Pizza,673.0,19.0,112.0,23.0,0.0,0,0,0,0,main course,"anchovy,   cornmeal,   fennel,   fennel bulb,   flour,   lemon zest,   mozzarella cheese,   olive oil,   pepper,   pizza dough","Preheat oven to 500F. If you have a pizza stone, stick it in the oven.In a small skillet, heat 1 tablespoon olive oil over medium heat. Add fennel slices and cook, stirring occasionally, until slightly browned. Remove from heat.With floured hands over a floured surface, stretch or toss (if you know how) the dough until it is 10-12"", taking care not to stretch it too thin. Uneven is okay, this dough makes a rustic crust. No need to aim for a perfect circle either. Press small thumbprints around the crust and brush with remaining tablespoon olive oil.Sprinkle a baking sheet with cornmeal and transfer the crust over. Re-shape if it's gone askew. Top with the mozzarella slices, fennel, and anchovy. Slide onto the pizza stone, or place baking sheet in oven.Cook until crust looks golden brown and cheese is bubbling, 6-10 minutes. When ready, carefully pull from the oven, top with lemon zest, a few cracks of pepper and the fennel fronds. Slice and serve.",26,https://spoonacular.com/recipeImages/19-556x370.jpg,0,3.8489,1,1,0,0,0,0
9,Anchovy Fries with Smoked Paprika Aioli,380.0,27.0,16.0,17.0,0.0,0,0,0,1,main course,"anchovies,   eggs,   flour,   garlic clove,   hungarian paprika,   kosher salt,   lemon juice,   lemon wedges,   olive oil,   panko bread crumbs,   paprika,   vegetable oil","Stir mayonnaise, lemon juice, garlic, and paprikas together in a bowl. Chill aioli until serving. Clean fish. Preheat oven to 200. Line a rimmed baking sheet with paper towels and keep warm in oven. Fill a large pot with 1 in. oil, insert a deep-fry thermometer, and bring oil to 375 over medium-high heat. Combine flour and 1/2 tsp. salt in a pie pan, and panko and remaining 1/2 tsp. salt in another pie pan. In a shallow bowl, whisk eggs to blend. Dip fish in flour, shaking off excess, then in egg, then in panko, turning to coat; set on a baking sheet. Fry one-quarter of fish at a time until golden, 1 to 1 1/2 minutes. Transfer to pan in oven. Serve with aioli and lemon wedges. Scrape off the scales gently with fingertips. Cut through both sides of belly 1/4 in. From edge, from collar to tail. Pull out the guts; rinse the fish inside and out. Snip off fins. Score fish all the way around collar just to the bone. Slide your index finger into cut on one side of collar and your middle finger into the other side. Slide your fingers along spine to tail, pulling fillets free. Cut off tail and pull out any remaining bones. Make 3 cuts through flesh to bones: along the length of the spine (to one side of it), at collar, and just above tail. Slide knife under fillet to free it from spine, and lift it off. Pull up tail and lift off spine and head to free bottom fillet. Pull out any remaining bones. *If you can't find fresh anchovies or smelt, you can make the recipe with sardines: Discard heads and tails, and cut bodies into 2-in. pieces. Cut cooked meat from the bones. Note: Find these little fish at some grocery stores, fish markets (you might need to order them), and Asian markets. If you live near a coastal town, head to the docks-fresh anchovies and smelt are often sold as bait. Look for fish with bright eyes, shiny skin, and a mild aroma. They're very perishable, so plan to cook them the same day.",45,https://spoonacular.com/recipeImages/25-556x370.jpg,0,26.441,1,1,0,0,0,0
10,Baguette With Radish,59.0,6.0,1.0,0.0,0.0,0,0,0,0,appetizer,"anchovy,   baguette,   chives,   coarse kosher salt,   fresh chives,   radishes,   unsalted butter","Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve.",25,https://spoonacular.com/recipeImages/26-556x370.jpg,0,15.0,1,0,0,0,1,0
